review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,label_agreement_level,source,predicted_classification
Wings Air,airline,47 reviewsW Garner,2019-12-11,Kaimana to Manokwari Plane left  and arrived  minutes late  really on time in this part of the world The check in staff were very flexible about cabin luggage size On board seats were reasonably comfortable and crew pleasant,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Cathay Pacific Airways,airline,T Patrick,2025-03-14,Plane clean and on time Ran out of water after row  economy Its a short flight so bring back water in seat pockets of you cant cope  No coffee tea or drinks for anyone,2.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Air Nostrum,airline,B Jonas,2020-02-16,Madrid to Toulouse Once again a punctual and comfortable flight Good legroom on time departure and arrival On flight entertainment was however not working  you have to pay for anything on board,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Novair,airline,Ulf Källén,2011-03-21,I have went with Novair four times OSLLPA x OSLTFS OSLFUE Great service good looking planes comfortable seats No delays new clean A The only less good thing  the food,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
China Airlines,airline,K Pellberg,2024-11-27,Lovely crew Very clean plane and rather comfy seating The seat belt  sign was on most of the flight although not much turbulence Quite many announcements The food was fine but wine glasses very small,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Olympic Air,airline,Georgios Vrontos,2023-05-30,Both flights were on time friendly crew and there was an inflight service for this  minutes flight Airplane was clean Due to short runway only  passengers could board on departure from Kastellorizo,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Privilege Style,airline,Abdal Ghafar,2020-01-25,Munich to Kabul Privilege Style is flying this  year old Boeing  on behalf of other customers as a charter airline The flight was okay  seats are comfortable enough and i felt safe throughout the journey,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Olympic Air,airline,Georgios Vrontos,2023-05-30,Both flights were on time friendly crew and there was an inflight service for this  minutes flight Airplane was clean Due to short runway only  passengers could board on departure from Kastellorizo,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Bismarck,airport,Bret Hammell,2015-07-09,A small but full service airport  Doesnt have some of the amenities of larger airports but you would not expect them Clean Great service Short wait times  Highly recommended,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Wings Air,airline,47 reviewsW Garner,2019-12-11,Kaimana to Manokwari Plane left  and arrived  minutes late  really on time in this part of the world The check in staff were very flexible about cabin luggage size On board seats were reasonably comfortable and crew pleasant,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Stockholm Vasteras,airport,David Jackson,2015-01-21,Superb airport Small Friendly service No queuing went through security in under  minutes Fast free wifi with constant connection and no connectivity issues Burger and chips SEK  cl beer SEK  Decent viewing facility but minimal air traffic to view,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Guangzhou,airport,Yu-Hsiu Chang,2023-05-20,It is clean modern and spacious There are many restaurants and shops Passengers would not be bored during the waiting time Employees are friendly and helpful Signposts are clear,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
SATA International,airline,M Warlen,2022-04-01,On time departure Excellent value and they gave a meal on a  hour flight  We arrived  mins early Staff was professional Bags delivered in a normal amount of time,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Nordavia,airline,2 reviewsDmitrii Egorov,2018-10-18,Saint Petersburg to Samara The airline is very good The cabin is clean and comfortable and with this always promised food and friendly staff As for the baggage allowance things are even better the baggage allowance is  kilograms,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Air Koryo,airline,25 reviewsAlain Kupferman,2019-05-19,Beijing to Pyongyang Comparing an intraEuropean flight of  hours and this flight practically no differences clean aircraft nice stewardesses punctual simple food good and attentive service a normal standard,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Jetstar Pacific,airline,Anders Pedersen,2020-01-04,Hong Kong to Hanoi Regional flight Hong Kong toHanoi  January  on an A aircraft Ticket included free services and luggage Hot meal given was OK Flight full on time Nice clean aircraft Seats were good but space to front seat was horrible and extremely tiny small de facto painful to knees CheckIn in Hong Kong was quick and easy though my handluggage was double the limit Checked in luggage arrived smoothly checked by customs in Hong Kong who had left a note inside the bag Airbridge provided at both ends,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Montevideo,airport,Enrique Simeone,2013-07-15,Brilliant Airport  new clean clear spacious Shame so few airlines do fly into MVD,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Bandung,airport,Henri Bemelmans,2018-05-20,Not Verified The new airport is much better than the old but the issue with taxis remains The military controls the airport and hence which taxis are used No meters and extortionate fares Better off walking  minutes south on road outside arrivals right angle to airport terminal and pickup a bluebird or AA cab from there Clean and metered Pity the Government does not stop in and do something about this as it is a horrible welcome to what is otherwise a friendly and interesting city and region,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Jersey,airport,Julie Myatt,2019-08-01,Lots of seating Not enough electric plugs or charge points WiFi was hopeless  it didnt work Tannoy too loud Staff seem nice enough Appeared clean,4.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Baku,airport,Mohamed Roshan Arakkal,2018-09-17,Free WiFi cleanliness and planning are good Queue for security and immigration took around  minutes Should deploy more staff for this purposes Restaurants after check in are less and with no good choice,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Kiev Zhulyany,airport,Linke Klaus-Dieter,2013-06-10,Since Zhulyany Airport had opened the new Terminal I have flown  times from there Everything was nice clean and efficient and friendly service I really can recommend this airport to be used for a visit in Kiev,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Uzbekistan Airways,airline,45 reviewsJ Lupu,2023-09-18,Checkin prolonged because their system was not updated concerning visa regulations Boarding efficient with bus transfer Cabin crew  nice ladies with friendly approach Free drinks were served There was free wiif onboard Flight was on time Entertainment without headsets,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Regional Express,airline,G Warlen,2021-12-13,I really rate Rex airlines On time both ways Helpful staff Free snack and comfy seats All for  return Very pleased with the experience  would choose to fly with Rex again,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Bismarck,airport,Bret Hammell,2015-07-09,A small but full service airport  Doesnt have some of the amenities of larger airports but you would not expect them Clean Great service Short wait times  Highly recommended,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Port Moresby,airport,H Horas,2016-01-15,Domestic arrival was good canteen facilities are reasonably priced Toilet was clean in arrival hall International departure   money exchange facilities available The security check was not particularly friendly  boarding was smooth via gate  with Virgin Australia using an air bridge,2.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Air Corsica,airline,L Kayne,2018-09-17,Stansted to Ajaccio Excellent all round On time drink and a snack served no hassle to board or have onboard bags Seats were comfy for a  hour flight  fare reasonable Would recommend,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Montevideo,airport,Enrique Simeone,2013-07-15,Brilliant Airport  new clean clear spacious Shame so few airlines do fly into MVD,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Air Koryo,airline,25 reviewsAlain Kupferman,2019-05-19,Beijing to Pyongyang Comparing an intraEuropean flight of  hours and this flight practically no differences clean aircraft nice stewardesses punctual simple food good and attentive service a normal standard,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Wings Air,airline,47 reviewsW Garner,2019-12-11,Kaimana to Manokwari Plane left  and arrived  minutes late  really on time in this part of the world The check in staff were very flexible about cabin luggage size On board seats were reasonably comfortable and crew pleasant,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Granada,airport,Henry Tib,2011-12-03,Arrived on the last evening flight from Barcelona tourist desk very helpful and received our luggage within  minutes No taxis available so took the airport bus driver was very helpful and even dropped us a short distance from our hotel,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Blue Islands,airline,M A Collie,2023-11-01,Comfortable enough flight which was fairly on time We were surprised that there was no catering on this flight of about  hours Only took hand baggage,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Aerocaribbean,airline,Philip Jensen,2010-12-31,Havana  Cayo Coco return A one hour flight with an old ATR turboprop Seats surprisingly comfortable and we were offered a free drink plus candy onboard Nothing special but we arrived on time,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Orient Thai Airlines,airline,M Sun,2012-11-01,HKGBKK I booked with them because it was the only airline available Check in took  hr in HKG and plane was a  year old B Entertainment was pretty much nothing and seats were the most uncomfortable Ive ever experienced Plane and bathroom were unclean I booked a seat in the upper deck and it was quiet Food was horrible Only good thing was the value because I you pretty much get everything for that cheap price,3.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Richmond,airport,Tim Buntin,2012-02-23,My experiences have always been pleasant Security lines are extremely short and there is a lot of open space Checking in is never a hasslewe have been able to pass by the checkin desk in  minutes or less on the worst of days Bathrooms are clean and theres always a cafe or news store open Delta seems to have the largest concentration of flights at the airport most of them being on their regional affiliates running under Delta Connection Overall the airport is very good clean and friendly,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Iran Aseman Airlines,airline,M Kleine,2014-04-06,An old Fokker  departure and arrival on time very smooth landing proficient bilingual staff and excellent food omelette with herbs coleslaw and chicken,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Kiev Zhulyany,airport,Linke Klaus-Dieter,2013-06-10,Since Zhulyany Airport had opened the new Terminal I have flown  times from there Everything was nice clean and efficient and friendly service I really can recommend this airport to be used for a visit in Kiev,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Stockholm Vasteras,airport,David Jackson,2015-01-21,Superb airport Small Friendly service No queuing went through security in under  minutes Fast free wifi with constant connection and no connectivity issues Burger and chips SEK  cl beer SEK  Decent viewing facility but minimal air traffic to view,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Orient Thai Airlines,airline,M Sun,2012-11-01,HKGBKK I booked with them because it was the only airline available Check in took  hr in HKG and plane was a  year old B Entertainment was pretty much nothing and seats were the most uncomfortable Ive ever experienced Plane and bathroom were unclean I booked a seat in the upper deck and it was quiet Food was horrible Only good thing was the value because I you pretty much get everything for that cheap price,3.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Guangzhou,airport,Yu-Hsiu Chang,2023-05-20,It is clean modern and spacious There are many restaurants and shops Passengers would not be bored during the waiting time Employees are friendly and helpful Signposts are clear,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,Neutral
Damascus,airport,Ralph Loehner,2009-09-14,It is not the most beautiful airport in the world but not the worst I always found it OK  speed to checkin pass passport control is OK Shopping cheap and wide range of products  VIP Lounge comfortable but old fashioned The information system is getting better and friendliness of officials is good,3.0,Positive,Positive,Positive,Positive,Positive,3/3,,Negative
Biman Bangladesh Airlines,airline,18 reviewsZiauddin Ahmed,2023-04-19,I was traveling from Bangkok to Dhaka I purchased the one way ticket online from Bangladesh one month back prior my journey and received  discount Ground service was good Food was very poor in quality and taste Entertainment was bad,5.0,Negative,Negative,Negative,Negative,Negative,3/3,,Neutral
Bangkok Airways,airline,H Steikel,2024-04-05,Bangkok Airways was delayed over  hour on flight PG Due to the delay I missed my ferry Bangkok Airways refuses any compensation,1.0,Negative,Negative,Negative,Negative,Negative,3/3,,Neutral
Biman Bangladesh Airlines,airline,18 reviewsZiauddin Ahmed,2023-04-19,I was traveling from Bangkok to Dhaka I purchased the one way ticket online from Bangladesh one month back prior my journey and received  discount Ground service was good Food was very poor in quality and taste Entertainment was bad,5.0,Negative,Negative,Negative,Negative,Negative,3/3,,Neutral
Bangkok Airways,airline,H Steikel,2024-04-05,Bangkok Airways was delayed over  hour on flight PG Due to the delay I missed my ferry Bangkok Airways refuses any compensation,1.0,Negative,Negative,Negative,Negative,Negative,3/3,,Neutral
Unknown,General,Anonymous,,"17. ""Norwegian Air provides reasonable fares, but their baggage fees can add up quickly.""",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"12. ""United Airlines' flight from Chicago to San Francisco was comfortable. The staff was friendly, but the meal options were limited.""",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"3. I found the check-in process with Airline Z to be efficient, though the staff could have been more communicative.",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"20. ""Ryanair offers a practical no-frills service, but their strict baggage policy can be inconvenient.""",,,,,,Neutral,Generated,synthetic,Negative
Unknown,General,Anonymous,,"2. I flew with United Airlines, their in-flight entertainment selection was good, however, the meal service could be improved upon.",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"17. Airline N's flight was fairly comfortable. However, the boarding process could have been more organized.",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,13. The cabin crew on Airline M's flight was professional and courteous. The legroom was slightly limited.,,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"15. My flight with Virgin Atlantic was okay. The plane was clean, the flight crew was professional, and the service was typical.",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"20. ""Airline Q's flight was satisfactory. The food was average, but the flight arrived on time.""",,,,,,Neutral,Generated,synthetic,Negative
Unknown,General,Anonymous,,"18. ""Airline O's flight was punctual and the cabin crew was courteous. The in-flight entertainment was basic.""",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"18. ""Airline O's flight was tolerable. The seats were not very comfortable but the staff was friendly.""",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,20. Airline Q's online booking system was easy to navigate. The flight left on time but the seats were a bit cramped.,,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"2. ""Airline Y's customer service was commendable. The flight was a bit delayed but they kept us informed throughout.""",,,,,,Neutral,Generated,synthetic,Negative
Unknown,General,Anonymous,,"19. ""Airline P offered an okay flying experience. The in-flight entertainment was decent but the food could have been better.""",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"4. ""The United Airlines flight was mostly uneventful. The plane was a bit old but well-maintained and the flight was on schedule.""",,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,15. The KLM flight was fine. The seats were comfortable enough for a short haul flight.,,,,,,Neutral,Generated,synthetic,Positive
Unknown,General,Anonymous,,"13. I had a usual journey with Cathay Pacific. The flight was mostly on time and the service was okay, but the food could be better.",,,,,,Neutral,Generated,synthetic,Negative
Unknown,General,Anonymous,,"11. ""While the Airline H flight was comfortable, the legroom was a bit tight. The crew was professional.""",,,,,,Neutral,Generated,synthetic,Positive
