review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,label_agreement_level,source,confidence_score
Caribbean Airlines,airline,Radha Banjoo,2023-05-13,I traveled with Caribbean airlines flying out of Toronto Canada into Trinidad and Tobago I havent flown with this airline in about twenty years I must say I was totally happy with the service they provided Staff was very welcoming The pilot was amazing with the way he took of and landed  I was very hesitant about flying with them because of what negative reviews and experiences I heard Thanks for making my trip a great one to the team and staff at Caribbean airlines,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Fort Wayne,airport,William Pond,2013-07-20,How refreshing for an airport free wifi free  minutes parking for passenger pickup abundant electrical outlets under seats a splendid Aviation Historical Museum friendly TSA security welcome home free cookies free shuttle to your car long term parking  per day which is closer than the short term in most airports  even if it costs a little more to fly out of Fort Wayne it is worth it,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Murcia San Javier,airport,P Sumner,2015-01-14,Great airport small and friendly Not too bothered about duty free shops its an airport for quick in and out like most should be  flights seem to be moving to Alicante but lets support this little airport and its staff Car hire very easy,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Rotterdam,airport,J Cats,2014-04-01,There in December  Jan  and Mar   times very quick handling of luggage etc comfortable waiting area and free internet No queues for Immigration desk One point that is minor if you dont know where the bus to Rotterdam centre is located you may have a problem however I took a taxi and then it takes only  minutes Its much more agreeable than the big airports like Toulouse Orly JFK or even Schiphol also in the Netherlands,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Petroleum Air Services,airline,N Batchelor,2011-01-07,SSHLXRSSH Dash  Q A bit dubious as I had never heard of this Egyptian carrier and the name doesnt inspire a great deal of confidence but I was pleasantly surprised A new aircraft on this short  minute flight comprehensive safety demo in English that was understandable Complimentary juice and a small snack provided I would not hesitate to use this airline again,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Carpatair,airline,Victor Neagu,2006-09-29,TimisoaraMunich The flight was h  min and operated on a SAAB  which was in pretty good shape  I believe these are former Crossair props Was offered a decent breakfast on this flight although a little bit disappointed that the cheese omlette was cold Otherwise good selection of drinks and friendly crew Overall a good deal for the price Would fly them again,0.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Malmo Aviation,airline,Patrice Cleeren,2003-08-15,Brussels to Stockholm and return They land at Bromma very close to the city small and friendly airport Checkin staff and cabin crew were friendly and helpful Plane was a BA  with  in one row instead of  Look a little old inside Nevertheless good value for your money Cheap fares and drinks and snacks at good prices available on board We will fly them again when we go back to Sweden,0.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Vientiane,airport,Rob Boyce,2009-07-14,Arrived from Bangkok on Thai flight and still bussed to the terminal in June  Queues for visa on arrival handled relatively quickly and luggage handling dealt with promptly and efficiently Friendly staff with a relaxed atmosphere,4.0,Positive,Positive,Positive,Positive,Neutral,3/3,,0.30299999999999994
Cibao,airport,L Vanarez,2019-12-08,Me and a few friends flew to the Dominican Republic in August  and the experience upon arrival was outstanding The immigration service was fast and most shops where open The staff help us with our bags and had us out in no time On our way back it was the same very friendly staff no delays food was great on the terminal shops,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
LAN Peru,airline,Clive Drake,2009-09-28,LimaCusco and three other internal flights within Peru All flights on time and quality of aircraft pilots as in landing and take offs  was exceptional Aircraft were almost new As  all were clean  including the toilets which cannot always be taken for granted on an aircraft that is subjected to multiple take offs and landings during the day FAs very professional A very good experience,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Guayaquil,airport,Stanley Landivar,2015-11-10,Good airport nice shops and the seating is comfortable great restaurants very respectful staff and flights always on time,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,0.7055999999999999
Memphis,airport,A Karlsson,2016-08-13,Departure from Memphis The airport was ok I regard it as the best airport I experienced during my trip  much better than Newark EWR and better than Chicago OHare ORD The stores and restaurants was plentiful but the airport is quite small The staff was friendly and efficient It was also quite clean much better than the other airports I passed through this trip in the USA It was easy to navigate through too Many small airports are better than their reputation,6.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Horizon Air,airline,Greg Bell,2014-01-29,Seattle to Edmonton  returning  Bombardier Q  plane small but with comfortable seating even for a sixfooter as I am Great cabin crew and nice free drinks An inflight snack might have been nice but overall a pleasant experience,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,0.9605000000000001
Milan Malpensa,airport,45 reviewsDiogo Freitas,2023-12-04,Airport staff very friendly and helpful but airport is actually the modern building with a minor older satellite terminal from where a low cost company exclusively operates It needs better  highlited signals,4.0,Positive,Positive,Positive,Positive,Positive,3/3,,0.2715714285714286
Milwaukee,airport,Brandy Epple,2014-02-05,Loved flying into Milwaukee We flew in from DC with AirTran to attend our daughters naval bootcamp graduation and what an excellent airport It was a short  minute drive to North Chicago We even loved the enterprise rental car pickupdropoff I highly recommend this airport,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Cagliari,airport,Federico Muscogiuri,2005-04-25,Clean and efficient I was very impressed with Elmas airport Staff are friendly and the airport is very well connected to the city centre by bus The fare is only   Only one negative point once youre past the international departures hall there are no shops only one small cafe near gate  otherwise this is one of the best regional airports I have visited so far,0.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Kan Air,airline,7 reviewsD Ragetrios,2016-08-23,Chiang Mai to Khon Kaen with Kan Air A small but very efficient airline ATR very clean ground staff did a great job and the biggest surprise  options between fish and chicken meal with rice for a  minute flight with  rounds of drinks I choose this airline as the fastest way to go from Korat airport closed to Chiang Mai via Khon Kaen to avoid a  hour bus ride As for the price  this was half than a bus ticket to Chiang Mai Excellent,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Air Berlin,airline,Kannan Pazhayedath,2017-09-19,Frankfurt to Berlin our first flight was cancelled but they arranged me other flight Next day I use Air Berlin also this time their service was on time and good service and cabin crew  they are very friendly and helpful I was very happy their service,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Yangon,airport,7 reviewsNuti Damrongphatr,2016-08-16,Yangon Terminal  is very nice It is not too large immigration may be slow but they are friendly Atmosphere is modern clean and nice including good restroom Check in counter are totally empty at the time of my departure Once can spend  minutes for check in process and wait at a few nice cafe they have noted that you cant find anything to eat after passing immigration,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Grand Rapids,airport,2 reviewsJoseph Leonetti,2022-01-01,Very clean and well taken care of This airport is served by so many great airlines with diverse destinations I do think that GRR needs more international routes At GRR the airport is not too big so it makes efficient travel Also they have a good selection of shops and stores The airport facility looks really modern and cool for being over  years old The only cons is that sometimes it can get a bit crowded and the staff doesnt manage high groups of passengers well Would give an  if I could,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Hobart,airport,M Duke,2016-09-20,Every time on arrival from either holiday work meetings interstate or visiting relatives in Melbourne I feel all the renovations look great but please put the car park ticket machines near the carousel  arrival hall out of the weather When some people pay at the gate they hold up the traffic I travel with Virgin regularly and cant wait for the renovations to be finished,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
SilkAir,airline,Larry Reed,2020-03-27,Singapore to Yangon Ontime departure from Changi terminal  The economy cabin felt clean and the crew were friendly My expectation was for a basic and efficient service which was we got This was an evening flight so we had a basic dinner which was okay as good if not better than the Premium Economy meal from Melbourne to Singapore Same wine Sauvignon Blanc This time no other option so I opted for the red Comfortable good service no complaints,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Aircalin,airline,1 reviewsF Cantall,2019-01-06,Noumea to Tokyo in economy and it was a good experience for a  hrs flight The crew was warm and welcoming The seat was comfortable with a lot of space for my legs and the entertainment system was complete However the A cabin looked quiet old but these aircraft have to be replaced by mid  The food was correct but not exceptional Overall it was an appreciable flight,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Ultra Air,airline,G Aldana,2023-02-11,Check in at San Andres had to be done at the airport since I had a bag to drop off the line was very long so I waited about  minutes Since there are no drinks or snacks available for sale on the plane I bought some stuff at the airport to bring along on the plane Flight back to Bogota was quite smooth quiet and easy I flew back on the same plane that had brought me to San Andres Nothing to complain about Cheap option to San Andres and very efficient,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Yangon,airport,7 reviewsNuti Damrongphatr,2016-08-16,Yangon Terminal  is very nice It is not too large immigration may be slow but they are friendly Atmosphere is modern clean and nice including good restroom Check in counter are totally empty at the time of my departure Once can spend  minutes for check in process and wait at a few nice cafe they have noted that you cant find anything to eat after passing immigration,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Bari Palese,airport,Mark Vella,2017-05-12,Bari Airport looks new but they have not yet found a way to avoid a  minute wait for security checks Leaving tourists in a  minute queue for security is not a good way to attract tourists If the queue is  minutes on th April what will it be in July and August Puglia is a great region to visit and Bari is an excellent gateway Pity the local autorities cant run an airport,2.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Savannah,airport,Paul Mcglynn,2017-05-23,This is one of the nicest airports I have visited The staff are all helpful and cheerful The security system is quick and efficient and the seating areas are comfortable and spacious The woman playing piano in the area prior to security really sets the tone The whole expereince was professional polite and efficient,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
TUI Airways,airline,Lynn St Louis,2024-06-16,Had a wonderful flight There was a female black flight attendant who looked after my pregnant daughter and I very well She went into depth about flight safety and when we arrived at our destination gave advice on how to manage the hot weather  She was pleasant and friendly to everyone,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Nordavia,airline,Y Kiselev,2010-10-03,ArkhangelskARH to TromsoeTOS with a stop in MurmanskMMK Fast and easy checkin and boarding Decently comfortable and rapid security check Aircraft Antonov  has seen better days but was OK for a short flight Cabin crew polite and professional Got served drinks on the first leg to Murmansk then snacks selection of meats with bread and piclkes on the way from Murmansk to Tromsoe Departure and arrival according to the timetable Luggage arrived OK Overall experience  fine apart from the high price,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Pacific Airlines,airline,M Evans,2023-03-28,Return leg of my round trip Again the great thing about this airline is the departure from Bangkoks main airport rather than the budget terminal across town Check in was done smoothly and boarding is by passenger ramp instead of being bussed about the airfield so is very convenient and quick Flight departed on time and was fairly uneventful Flight arrived  minutes ahead of scheduled time The only let down of the journey was deplaning at Ha Noi was by ground service ramp and bus to the terminal,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Air France,airline,N Haynes,2025-03-28,My son was travelling on Kids Solo as an unaccompanied Minor with a h stop over in Paris The departure from Dublin was delayed by  hour The agents Mustafa and Laura at the check in counter went out of their way to arrange a new flight with KLM arriving half an hour earlier than the original flight They were extremely helpful and understanding We were very impressed with their professional approach and excellent customer service,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Eindhoven,airport,Chris Dunn,2022-11-28,Staff all very helpful in particular a lady from the special assistance team She went above and beyond  what a lovely lady who clearly is very devoted to her job role We would choose to fly from Eindhoven airport again as our experience was so smooth and professionally handled Thank you  such a small thing to say  I hope this gets back to the whole team,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Atlantic Airways,airline,C Perkin,2011-08-23,Flew to Vagar Faroe Islands Smooth flight lasting  hrs  mins each way Flight attendants were friendly and efficient Seats comfortable and spacious adequate storage space for inflight luggage Free snacks served as well as alcoholic and nonalcoholic drinks,9.0,Positive,Positive,Positive,Positive,Neutral,3/3,,0.21857142857142856
Ontario,airport,Max Davidson,2016-02-03,One of the easiest airports to access both inbound and outbound that we have ever experienced Staff on the information desk in Terminal  were extremely pleasant and helpful when we asked for assistance Public areas very clean and well kept Plenty of seating for passengers Great food outlets and some interesting local shops as well A real treat to travel through this southern California airport,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Omni Air International,airline,C Rowe,2023-11-12,We were originally booked in Premium Economy with Air Canada Due to a substitution of aircraft we were switched onto Omni in economy class While the aircraft was fairly old and we were delayed  hour in takeoff everything else was fine Seats were comfortable food was okay and cabin crew were very friendly and efficient Air Canada processed the promised refund due to us being downgraded We would be okay with flying Omni again but prefer flying on an aircraft with a premium economy cabin,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Wilson,airport,2 reviewsRichard McMahon,2017-01-22,Great airport for small aircraft Twin OtterCessna used primarily for safari transfers Courteous and friendly staffsecurity as well as satisfactory washrooms and a nice snack bar Wilson airport is a welcome change from the chaos of Jomo Kenyatta Note  due to its small size there is no souvenir or duty free shopping,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Fukuoka,airport,Phil Carey,2013-10-07,Great little airport incredibly close in to the city centre  minutes by metro from the Domestic Terminal to the central station and the international terminal is spacious with comfortable seating by the gates and good value shopping The only downside is the tedious minute bus transfer to get there from the Domestic Terminal,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Malaysia Airlines,airline,3 reviewsD Masil,2025-02-27,Kuala Lumpur to Kuching return on Feb  Overall vey satisfied with the experience An exceptional service by the friendly cabin crew The airline offers an exceptional value for money The economy class cabin very clean and features new seats and wifi entertainment using own device The food is good for a domestic flight In both sectors boarding by groups and strictly follow The ground staff is good but can be better For one and half hour flight am not complaining,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Dragonair,airline,1 reviewsS Lee,2016-09-07,Hong Kong to Beijing with Cathay Dragon My seat was at the middle of the aircraft  One meal was served and the total flight time was about  hours The meal service was good  The crew were friendly and nice Nevertheless the inflight entertainment system was not quite updated and the legroom of the economy class seat was not quite enough The area of the restrooms could also be improved In total it was enjoyable flight,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Minsk National,airport,18 reviewsGyan Fernando,2019-08-27,A modern stylish and clean airport with good facilities but rather small The checkin area in terminal  was rather crowded as were the departure gate areas Immigration was rather slow and unnecessarily complicated Customs were simple There wasnt enough seating in the gate area and the restaurant was busy There were plenty of Duty Free shops and in fact too many All in all a very nice airport,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Air Bagan,airline,G Becque,2015-01-19,RGNSNW Quick boarding with allocated seating for  minute flight in ATR to Ngapali Beach Good safety briefing before time take off and light snack and drink en route Pleasant FAs smooth flight and great landing over the surf and through the palm trees to this small exRAF WW strip on the Bay of Bengal Luggage is delivered by handcart to the entrance gatesexpect to pay kyat per piece,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Shaheen Air,airline,Mohammed Fiaz,2017-01-12,Islamabad to Manchester Very prompt check in for Shaheen Air No hassle Boarding very professional and well organised Friendly cabin staff Clean very aircraft Good quality food served lunch Asian style and evening dinner European style and plenty of cold drinks  coffee  tea Little treats like chocolates also served during flight Food served on time and promptly This flight had free Wifi which worked well Generally very happy with Shaheen Air I would definitely recommend and I would fly again with them,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Colorado Springs,airport,William Swain,2017-12-01,I have flown into and out of the Colorado Springs twice a year since  Each time check in has been efficient and pleasant the TSA agents have been very nice and observant the airport has been clean and refreshment options have been pretty good I was last there in October of  and liked the fact that the piped in music in the waiting area was classic rock I have a high opinion of the COS airport and dont mind at all flying in and out of it,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Air Corsica,airline,Georgios Vrontos,2020-08-24,You can change your seats at echeck in without charge Both flights were on time Aneo was clean there were no inflight service for the  hour flight Stewards were efficient and friendly enough,9.0,Positive,Positive,Positive,Positive,Neutral,3/3,,0.226
Read more,airline,Sudarshan Sharma,2018-12-09,Birmingham to Amritsar via Ashkabat No nonsense air line Great Indian vegetarian food There was no flight screens no seat screens We stopped at Ashgabat for one hour its nice modern airport with all facilities The good thing was that the time at Ashgabat and time in India is only  minute difference,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Dresden,airport,Mark Evans,2007-05-08,Little expense has been spared to make DRS a spacious and stateofthe art An allround highly agreeable experience with the added advantage of DRS being very close to the city centre A halfhourly rail service connects DRS with Dresden Hautbahnof a minute journey with several intermediate stops all for a princely EUR  oneway fare BA has recently launched an LGWDRS service great views of the heart of the city on the landing approach from the starboard side but the airport remains somewhat underutilised,4.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Xiamen Airlines,airline,Mohammad Jawhar,2024-11-08,Highly recommended airline offering excellent value for money I booked my flight from Bali to Doha via Xiamen and received three full meals a hour entry permit to explore Xiamen during my hour transit a free single hotel room and a free shuttle from airport to hotel all for  It is simply incredible to believe that you can fly from Bali to China to Doha for only,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Air Costa,airline,Thomas Sehested,2015-12-30,Bangalore to Hyderabad My first time with Air Costa  they been operating as a regional airline India for  years A great experience the legroom was really good seats comfortable and the aircraft very new Its low cost so besides a glass of water it costs But given the flight time of little over an hour thats no problem The range of food and beverages looked good though The flight was  mins late  the only downside,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Queenstown,airport,M Mathew,2020-01-24,There is a need for some chairs and a table to sit and reorganise after the security check This is especially important for people with knee  other implants requiring putting on the shoes Cannot do this in standing position I kept the bag on the only one table and was putting on the shoes in standing position One security lady officer showed her displeasure and asked me to remove the bag from the table Not very helpful,3.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Virgin Australia,airline,178 reviewsJohn Curtain,2025-01-30,Although it was busy Australia Day Public Holiday check in was quite easy  The plane left on time and staff were efficient and friendly Only water coffee and tea is available for free but for a short flight I dont mind Overall a great flight and a pleasant way to end my Australia Day Break,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Surabaya Juanda,airport,8 reviewsRendi Oktavianto,2016-06-09,Surabaya is my hometown airport I was really happy when Terminal  opened but I think they could improve the facilities such as food and stores Surabaya is a simple airport  the terminal is quite clean toilets huge spacious check in and waiting room I spend a lot of time here but I have never used the WiFi so I dont know about the speed Airport staff are attentive,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Xiamen Airlines,airline,Mohammad Jawhar,2024-11-08,Highly recommended airline offering excellent value for money I booked my flight from Bali to Doha via Xiamen and received three full meals a hour entry permit to explore Xiamen during my hour transit a free single hotel room and a free shuttle from airport to hotel all for  It is simply incredible to believe that you can fly from Bali to China to Doha for only,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Colombo,airport,Patrick Gold,2023-06-06,Frequented CMB many times in the last decade and on the whole its ok  It runs pretty smoothly and in fact has improved over the years the immigration particularly seems quicker I do however hate the exorbitant dollar priced fooddrink and duty free etc The contrast between what this cost just outside the door or the airport and the terminal prices must be one of the biggest contrasts in the world That said its a pretty painless experience to pass through,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Golden Myanmar Airlines,airline,5 reviewsNeil Reckers,2019-04-07,Yangon to Mandalay with Golden Myanmar Airlines was very pleasant and positive The airline online booking system was good checkin counter staff very friendly and the checkin was easy The flight left the gate as per schedule and the flight was comfortable Cabin crew were friendly and efficient Passengers were served with light snacks during the approx  hrs flight,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Yangon Airways,airline,25 reviewsMark Ellwood,2017-09-26,Bagan to Heho Very short flight again another ATR aircraft as a nervous passenger I was not looking forward to the flight but it was great Seating was  no seat numbers given as only a few passengers on this flight No Inflight snack but coffee or cold drinks were supplied All in all a good flight and would travel again,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Read more,airline,C Lee,2024-10-11,The seat was spacious but the recline function was lost on my seat Crew were friendly They offered one meal plus one snack for just  hours The onboard announcement was inaccurate that they claimed to be landing soon  hours before the actual landing Surprisingly personal onboard entertainment was offered,7.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Kaohsiung,airport,B Blanchard,2010-07-27,I have used this airport a lot over the past two years and find it amazingly efficient and the staff friendly from checkin to immigration and security Its hardly ever busy and normally you can get from the plane to the MRT station within about  minutes even when arriving on a packed A from HKG Sure the shopping and food options are not great but KHH is so close to downtown on the wonderful new MRT that this is not really an issue All KHH needs now are more international flights,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
InterSky,airline,B Dominic,2014-03-31,I am flying FDHDUS regularly and I am fully satisfied with this airline Due to the smaller sizes of their aircrafts the flight takes some time about hr  min but service onboard is excellent Good regional snacks and plenty of drinks are served during the flight Ground handling in FDH is very quick and efficient Prices are high but still recommendable,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Meridiana,airline,F Roberts,2018-02-27,IG  Milan Malpensa to Cairo  Comfortable aircraft outstandingly attentive and polite cabin crew considerate to all passengers Competitive price delivered safely to Cairo All good Based on this first experience with Meridiana I have booked two more flights with with them No complaints whatsoever and no hesitation in offering a recommendation,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Wichita,airport,Michael Streit,2015-07-09,Nice friendly airport  Quick check in usually efficient security screening everybody keeps moving  Gates are easy to findnavigate  Short on food options nice bar after security near Gate   Good coffeebagel bar near Gate   The new airport is about finished  Will be nice to see the improvements  Eisenhower is the new airport name  excellent choice,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
TransAsia Airways,airline,M Wharfe,2010-12-04,Taipei  Hualein  TaiChung Both flights by ATR cabin was clean and comfortable Very friendly crew Drinks service on both flights,6.0,Positive,Positive,Positive,Positive,Neutral,3/3,,0.349
Yemenia,airline,Ian Howarth,2011-04-25,SanaaParis on A Ontime departure in spite of elaborate boarding procedures All pax bussed to aircraft Inflight fine choice of meal and range of nonalcoholic drinks Cabin crew courteous with passable English Economy cabin looked a real mess after meal service  not cleaned Limited inflight entertainment,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Nuremburg,airport,W Peters,2017-08-31,It always a good experience to fly from  to Nuremberg airport because you have short ways It is connected with the metroline U so you are in  minutes at the city centre You can eat some local stuff The staff is friendly and helpful The most important to the end  WIFI is free,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Victoria Intl,airport,Ed Smith,2011-08-01,Excellent small regional airport spotlessly clean with very friendly staff  slight oddity that the baggage reclaim belts are in the arrivals hall but I was out within th mins of the plane touching down and you cant get much better than that,5.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Jetairfly,airline,Patrick Asselberghs,2015-12-01,Miami to Brussels On this Boeing  plane Jetairfly has a separate cabin called comfort class and I was able to book seats there for an extra fee Only  seats in this cabin with  FAs doing a great job Seats configuration in xx while regular economy is xx Legroom was very good After take off we were offered Champagne followed by a hot meal together with  wine coffee and digestif Before landing breakfast was served I would recommend this airline if you can get seats in this cabin,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Tokyo Narita,airport,6 reviewsS Han,2024-04-14,Easy to access by train Plenty of shops and eateries even convenience store Lots of toy machines Clean and enjoyable to wait for our departure Signs are clear You can enjoy lunch while watching the airplanes take off Weve got our last minute omiyage shopping like handkerchiefs japan only cute snacks and satisfying lunch,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Palm Springs,airport,J Marshall,2011-10-29,Great little airport Everything in one location  baggage belts next to car hire desks and you walk out into the car park and collect your car Will be my preferred choice now rather than coming in via LAX or SAN and facing a  hour drive,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Qantas Airways,airline,Peter Drysdale,2024-12-08,Out on QF  on Premium Economy back on QF Business Class Premium economy very good and business class great Cabin crew really good and service superb,9.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
FlyArystan,airline,Zarina Spandiyarova,2019-06-14,Almaty to Karaganda Purchasing a ticket  days before the flight from Almaty to Karaganda was super fast and cheap Airplane looks new and clean Service exceeded my expectations  Cabin seat was quite comfortable Menu of snacks teacoffee and other bevarages is affordable One unusual thing is while checking in they sort flyers based on their seat numbers to make it easier to board a plane,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Krabi,airport,M Agarwal,2020-03-02,A very pleasant experience Its a small airport with limited number of flights being operated daily  Very clean Airport  Very trained staff  Clean washrooms  Nicely organized being small in size  Few no of shops not exorbitantly priced  Waiting area also very smooth Overall a very good experience,8.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Air Iceland Connect,airline,75 reviewsDavid Robson,2018-03-30,Egilsstadir to Reykjavk Check in was a breeze Waiting area very clean Boarding was very easy just showing ticket and photo ID It was a  minute flight They served tea or coffee with a chocolate I really enjoyed the flight as I did not want to travel by road again I will fly them again,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
Bhopal,airport,Swapnil Varghese,2017-04-12,I wanted to acknowledge the entire ground staff including the Security who helped us a great deal to arrange boarding the aircraft We reached airport just  min before scheduled departure and the checkin was closed After requests since we as a family had to take onward flight from Delhi the ground staff went out of their way to help us,10.0,Positive,Positive,Positive,Positive,Positive,3/3,,1.0
