review_text,review_classification,review_name,review_type,passenger_name,review_date,source
"1. ""The flight experience on Airline X was uneventful, with on-time departure and arrival. The in-flight meal was average.""",Neutral,Unknown,General,Anonymous,,synthetic
"2. ""Airline Y offers decent legroom in their economy class. The crew was professional, though not particularly engaging.""",Neutral,Unknown,General,Anonymous,,synthetic
"3. ""The check-in process with Airline Z was smooth, but the boarding process was a bit disorganized. The flight itself was comfortable.""",Neutral,Unknown,General,Anonymous,,synthetic
"4. ""Airline A's cabin was clean and maintained. The entertainment options were satisfactory, but not extensive.""",Neutral,Unknown,General,Anonymous,,synthetic
"5. ""Flight with Airline B was punctual, with a smooth take-off and landing. The food, however, was a bit bland.""",Neutral,Unknown,General,Anonymous,,synthetic
"6. ""Airline C's staff was polite, and the flight was on time. The in-flight entertainment could use an upgrade.""",Neutral,Unknown,General,Anonymous,,synthetic
"7. ""The baggage handling by Airline D was efficient. The in-flight meal options were limited.""",Neutral,Unknown,General,Anonymous,,synthetic
"8. ""The seats on Airline E's flight were comfortable enough for a short haul. The cabin crew was cordial.""",Neutral,Unknown,General,Anonymous,,synthetic
"9. ""Airline F had a smooth check-in and security process. The in-flight service was average.""",Neutral,Unknown,General,Anonymous,,synthetic
"10. ""The flight with Airline G had a slight delay but was otherwise fine. The in-flight meal was satisfactory.""",Neutral,Unknown,General,Anonymous,,synthetic
"11. ""While the Airline H flight was comfortable, the legroom was a bit tight. The crew was professional.""",Neutral,Unknown,General,Anonymous,,synthetic
"12. ""Airline I's flight was punctual and the cabin was clean. The food quality was average.""",Neutral,Unknown,General,Anonymous,,synthetic
"13. ""The boarding process with Airline J was a bit slow. The flight was comfortable with a decent meal.""",Neutral,Unknown,General,Anonymous,,synthetic
"14. ""Airline K's flight had a smooth take-off and landing. The in-flight entertainment options were limited.""",Neutral,Unknown,General,Anonymous,,synthetic
"15. ""The cabin crew on Airline L's flight was polite and professional. The food, however, could use some improvement.""",Neutral,Unknown,General,Anonymous,,synthetic
"16. ""Airline M's check-in process was efficient. The in-flight service was satisfactory.""",Neutral,Unknown,General,Anonymous,,synthetic
"17. ""The flight with Airline N had decent legroom and comfortable seats. The meal options were limited.""",Neutral,Unknown,General,Anonymous,,synthetic
"18. ""Airline O's flight was on time, and the cabin crew was friendly. The in-flight entertainment was average.""",Neutral,Unknown,General,Anonymous,,synthetic
"19. ""The baggage handling process with Airline P was smooth. The in-flight meal was satisfactory.""",Neutral,Unknown,General,Anonymous,,synthetic
"20. ""Airline Q's flight was comfortable with professional cabin crew. The entertainment options were satisfactory, but not extensive.""",Neutral,Unknown,General,Anonymous,,synthetic
1. The flight with Airline X was average. The seating was comfortable enough and the cabin crew was polite.,Neutral,Unknown,General,Anonymous,,synthetic
2. I found the in-flight entertainment options on Airline Y to be sufficient for a short-haul flight. The food quality could be improved.,Neutral,Unknown,General,Anonymous,,synthetic
"3. The boarding process with Airline Z was pretty smooth. However, the flight was slightly delayed.",Neutral,Unknown,General,Anonymous,,synthetic
4. Airline A provided decent legroom in economy. The meal service was prompt but the variety was lacking.,Neutral,Unknown,General,Anonymous,,synthetic
5. Airline B's flight was on time and the cabin cleanliness was satisfactory. The staff could have been more attentive.,Neutral,Unknown,General,Anonymous,,synthetic
6. Airline C's check-in process was straightforward. The in-flight meal was average and the entertainment options were limited.,Neutral,Unknown,General,Anonymous,,synthetic
7. Airline D offered a comfortable flight experience. The snacks provided were not up to the mark though.,Neutral,Unknown,General,Anonymous,,synthetic
8. The overall flight with Airline E was okay. The crew was professional but the food quality was average.,Neutral,Unknown,General,Anonymous,,synthetic
9. Airline F's flight departed and arrived as per schedule. The in-flight entertainment and food service were pretty standard.,Neutral,Unknown,General,Anonymous,,synthetic
"10. The flight with Airline G was comfortable, but the Wi-Fi connectivity was unstable. The staff was courteous.",Neutral,Unknown,General,Anonymous,,synthetic
11. Airline H's flight was moderately comfortable. The check-in process was a bit slow but the flight was on time.,Neutral,Unknown,General,Anonymous,,synthetic
"12. The in-flight service on Airline I was decent. The seats were somewhat cramped, but the crew was helpful.",Neutral,Unknown,General,Anonymous,,synthetic
13. Airline J provided satisfactory service. The food options could have been better.,Neutral,Unknown,General,Anonymous,,synthetic
"14. Airline K's flight was average. The check-in process was smooth, but the in-flight entertainment could use an upgrade.",Neutral,Unknown,General,Anonymous,,synthetic
"15. The flight with Airline L was okay. The legroom was sufficient, but the cabin temperature was slightly too cold.",Neutral,Unknown,General,Anonymous,,synthetic
16. Airline M's flight was on time. The in-flight meals were standard and the cabin crew was professional.,Neutral,Unknown,General,Anonymous,,synthetic
"17. Airline N's flight was fairly comfortable. However, the boarding process could have been more organized.",Neutral,Unknown,General,Anonymous,,synthetic
"18. The service on Airline O's flight was satisfactory. The food quality was average, and the flight was on schedule.",Neutral,Unknown,General,Anonymous,,synthetic
"19. The flight with Airline P was decent. The crew was professional, but the seating space was a bit tight.",Neutral,Unknown,General,Anonymous,,synthetic
"20. Airline Q's flight was okay. The in-flight entertainment options were limited, but the flight departed and arrived on time.",Neutral,Unknown,General,Anonymous,,synthetic
"1. ""Airline X provided a satisfactory service. The flight was on time and the crew was professional.""",Neutral,Unknown,General,Anonymous,,synthetic
"2. ""The in-flight meal on Airline Y was standard for an airline meal. The flight attendants were courteous.""",Neutral,Unknown,General,Anonymous,,synthetic
"3. ""Plane cleanliness was up to par on Airlines Z. The legroom was average.""",Neutral,Unknown,General,Anonymous,,synthetic
"4. ""Airline A's booking process was straightforward. The flight itself was uneventful.""",Neutral,Unknown,General,Anonymous,,synthetic
"5. ""The flight with Airline B arrived on time with no major issues. The entertainment selection was adequate.""",Neutral,Unknown,General,Anonymous,,synthetic
"6. ""Airline C's service was typical for what you'd expect. The food was edible and the seats were reasonably comfortable.""",Neutral,Unknown,General,Anonymous,,synthetic
"7. ""The flight with Airline D was satisfactory. The crew was professional, and the plane was clean.""",Neutral,Unknown,General,Anonymous,,synthetic
"8. ""Airline E provided an average experience. The in-flight entertainment was decent and the flight was on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"9. ""The boarding process with Airline F was smooth. The flight attendants were attentive.""",Neutral,Unknown,General,Anonymous,,synthetic
"10. ""Airline G's flight was reasonably comfortable. The food wasn't exceptional, but it was adequate for a short flight.""",Neutral,Unknown,General,Anonymous,,synthetic
"11. ""The flight with Airline H was typical. The crew was polite and the plane was clean.""",Neutral,Unknown,General,Anonymous,,synthetic
"12. ""The service on Airline I was adequate. The flight was on time and the seats were decently comfortable.""",Neutral,Unknown,General,Anonymous,,synthetic
"13. ""Airline J provided a typical flying experience. The food was standard and the in-flight entertainment was satisfactory.""",Neutral,Unknown,General,Anonymous,,synthetic
"14. ""The staff on Airline K's flight was professional. The flight arrived on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"15. ""Airline L's flight was uneventful. The food was average and the service was adequate.""",Neutral,Unknown,General,Anonymous,,synthetic
"16. ""The flight with Airline M was standard. The cabin was clean and the flight left on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"17. ""Airline N provided a typical service. The flight attendants were professional and the flight arrived on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"18. ""The in-flight service on Airline O was satisfactory. The in-flight entertainment was adequate.""",Neutral,Unknown,General,Anonymous,,synthetic
"19. ""Airline P's flight was as expected. The seats were comfortable enough for the long flight.""",Neutral,Unknown,General,Anonymous,,synthetic
"20. ""The service on Airline Q's flight was average. The food and beverage service was on par with other airlines.""",Neutral,Unknown,General,Anonymous,,synthetic
"1. ""British Airways consistently delivers a smooth flight experience, although the in-flight entertainment options could use some updating.""",Neutral,Unknown,General,Anonymous,,synthetic
"2. ""American Airlines offers basic amenities, with relatively comfortable seating and average in-flight food.""",Neutral,Unknown,General,Anonymous,,synthetic
"3. ""Lufthansa's staff is generally professional, but the legroom in economy class is average at best.""",Neutral,Unknown,General,Anonymous,,synthetic
"4. ""Air Canada's flights are generally on time, however, their customer service could use some improvement.""",Neutral,Unknown,General,Anonymous,,synthetic
"5. ""Emirates offers a decent selection of in-flight movies, but the meals provided are just satisfactory.""",Neutral,Unknown,General,Anonymous,,synthetic
"6. ""Qantas Airways provides a smooth check-in process, but the in-flight experience is rather ordinary.""",Neutral,Unknown,General,Anonymous,,synthetic
"7. ""Singapore Airlines has a clean cabin environment, although the cabin crew could be more responsive.""",Neutral,Unknown,General,Anonymous,,synthetic
"8. ""Delta Airlines offers reliable baggage handling, but their flight delays can be quite frequent.""",Neutral,Unknown,General,Anonymous,,synthetic
"9. ""Air France provides a standard in-flight service, but their boarding process isn't the most efficient.""",Neutral,Unknown,General,Anonymous,,synthetic
"10. ""Turkish Airlines has a user-friendly website for booking, but the in-flight food lacks variety.""",Neutral,Unknown,General,Anonymous,,synthetic
"11. ""Southwest Airlines is generally punctual, but the lack of complimentary in-flight amenities is noticeable.""",Neutral,Unknown,General,Anonymous,,synthetic
"12. ""Cathay Pacific's seats are satisfactorily comfortable, but their in-flight entertainment is somewhat outdated.""",Neutral,Unknown,General,Anonymous,,synthetic
"13. ""Etihad Airways offers decent legroom, but their customer service response time could be improved.""",Neutral,Unknown,General,Anonymous,,synthetic
"14. ""Japan Airlines' in-flight meals are standard, but the cabin temperature can be a little inconsistent.""",Neutral,Unknown,General,Anonymous,,synthetic
"15. ""Virgin Atlantic offers an efficient check-in process, but the quality of the in-flight headphones is average.""",Neutral,Unknown,General,Anonymous,,synthetic
"16. ""KLM's flight staff are usually friendly, but the quality of their in-flight meals is unexceptional.""",Neutral,Unknown,General,Anonymous,,synthetic
"17. ""Norwegian Air provides reasonable fares, but their baggage fees can add up quickly.""",Neutral,Unknown,General,Anonymous,,synthetic
"18. ""United Airlines has a straightforward booking process, but the cleanliness of the plane could be improved.""",Neutral,Unknown,General,Anonymous,,synthetic
"19. ""Alaska Airlines' flights are mostly on time, but the seating in economy class is just satisfactory.""",Neutral,Unknown,General,Anonymous,,synthetic
"20. ""Ryanair offers a practical no-frills service, but their strict baggage policy can be inconvenient.""",Neutral,Unknown,General,Anonymous,,synthetic
"1. United Airlines provided a fairly standard flight experience. The seats were reasonably comfortable, and the flight was on time.",Neutral,Unknown,General,Anonymous,,synthetic
"2. American Airlines offered a reliable service. The in-flight meal was acceptable, and the staff were professional.",Neutral,Unknown,General,Anonymous,,synthetic
"3. Delta Airlines provided an on-time departure and arrival. The plane was relatively clean, and the in-flight entertainment was good.",Neutral,Unknown,General,Anonymous,,synthetic
"4. Qatar Airways offered a decent level of comfort for the long-haul flight. The food was okay, and the cabin crew was polite.",Neutral,Unknown,General,Anonymous,,synthetic
"5. On my Air Canada flight, the plane departed and arrived as scheduled. The legroom in economy class was average.",Neutral,Unknown,General,Anonymous,,synthetic
"6. Southwest Airlines' service was standard, and the flight was on time. The snack options were limited but satisfactory.",Neutral,Unknown,General,Anonymous,,synthetic
"7. Lufthansa offered an acceptable flight experience. The seats were somewhat comfortable, and the in-flight movie selection was broad.",Neutral,Unknown,General,Anonymous,,synthetic
"8. British Airways' flight was on schedule, and the cabin cleanliness was at an acceptable level. The food quality was average.",Neutral,Unknown,General,Anonymous,,synthetic
"9. Allegiant Air provided a typical low-cost airline experience. The plane was a bit cramped, but the flight was on time.",Neutral,Unknown,General,Anonymous,,synthetic
"10. On my Virgin Atlantic flight, the staff was professional, and the in-flight entertainment options were satisfactory. The food could have been better.",Neutral,Unknown,General,Anonymous,,synthetic
"11. Air France's service was as expected. The flight took off and landed on time, and the staff was quite professional.",Neutral,Unknown,General,Anonymous,,synthetic
"12. JetBlue Airways offered a standard flight experience. The seat comfort was average, and the in-flight snacks were okay.",Neutral,Unknown,General,Anonymous,,synthetic
"13. Alaska Airlines' flight was on time, and the plane was reasonably clean. The staff provided an acceptable level of service.",Neutral,Unknown,General,Anonymous,,synthetic
"14. The flight with RyanAir was cost-effective. The seating was a bit tight, but the overall experience was average.",Neutral,Unknown,General,Anonymous,,synthetic
"15. The service on Emirates was quite standard. The food was acceptable, and the cabin crew was professional.",Neutral,Unknown,General,Anonymous,,synthetic
"16. On my flight with Spirit Airlines, the cabin was quite clean, and the flight was punctual. The legroom was average.",Neutral,Unknown,General,Anonymous,,synthetic
"17. Air China provided a satisfactory service. The in-flight meal was acceptable, and the staff was polite.",Neutral,Unknown,General,Anonymous,,synthetic
"18. The service on Turkish Airlines was reliable. The flight was on time, and the in-flight entertainment was good.",Neutral,Unknown,General,Anonymous,,synthetic
"19. The Qantas flight was on schedule, and the cabin was clean. The food quality was average.",Neutral,Unknown,General,Anonymous,,synthetic
"20. The flight with Aeroflot was quite standard. The seating was a bit tight, but the overall experience was average.",Neutral,Unknown,General,Anonymous,,synthetic
"1. The flight on Air Canada was satisfactory. The plane was clean and the service was efficient, nothing out of the ordinary.",Neutral,Unknown,General,Anonymous,,synthetic
2. United Airlines provided a standard flight experience. The check-in process was smooth and the in-flight service was adequate.,Neutral,Unknown,General,Anonymous,,synthetic
"3. Emirates offered a good selection of in-flight entertainment. The food was typical airplane fare, nothing exceptional.",Neutral,Unknown,General,Anonymous,,synthetic
4. The seats on Delta Airlines were reasonably comfortable for a long-haul flight. The cabin crew were professional and attentive.,Neutral,Unknown,General,Anonymous,,synthetic
"5. The British Airways flight was average. The flight departed and arrived on time, and the on-board facilities were good.",Neutral,Unknown,General,Anonymous,,synthetic
6. Qantas Airways provided a standard service. The check-in was efficient and the flight was comfortable enough.,Neutral,Unknown,General,Anonymous,,synthetic
"7. The Lufthansa flight was punctual and the crew was professional. The food, however, was rather ordinary.",Neutral,Unknown,General,Anonymous,,synthetic
8. The Southwest Airlines flight was fine. The boarding process was smooth and the seats were fairly comfortable.,Neutral,Unknown,General,Anonymous,,synthetic
9. Ryanair offered a no-frills service. The flight was on time and the crew was friendly enough.,Neutral,Unknown,General,Anonymous,,synthetic
10. The in-flight entertainment on American Airlines was decent. The food and drink options were typical for an airline.,Neutral,Unknown,General,Anonymous,,synthetic
11. The Virgin Atlantic flight was satisfactory. The cabin crew was attentive and the flight arrived on time.,Neutral,Unknown,General,Anonymous,,synthetic
12. The Turkish Airlines flight was standard. The plane was clean and the in-flight service was adequate.,Neutral,Unknown,General,Anonymous,,synthetic
13. The seats on Air France were comfortable enough for a short-haul flight. The service was efficient and the food was average.,Neutral,Unknown,General,Anonymous,,synthetic
"14. The Etihad Airways flight was decent. The food was okay, and the cabin crew was professional.",Neutral,Unknown,General,Anonymous,,synthetic
"15. The Singapore Airlines flight was average. The in-flight entertainment was good, but the food was nothing special.",Neutral,Unknown,General,Anonymous,,synthetic
"16. The Cathay Pacific flight was satisfactory. The plane was clean, the flight was on time and the crew was professional.",Neutral,Unknown,General,Anonymous,,synthetic
17. The easyJet flight was standard. The boarding process was smooth and the flight arrived on time.,Neutral,Unknown,General,Anonymous,,synthetic
18. The Aer Lingus flight was average. The seats were comfortable enough and the flight was punctual.,Neutral,Unknown,General,Anonymous,,synthetic
19. The JetBlue flight was fine. The in-flight service was efficient and the plane was clean.,Neutral,Unknown,General,Anonymous,,synthetic
20. The Norwegian Air flight was satisfactory. The check-in process was smooth and the flight departed on time.,Neutral,Unknown,General,Anonymous,,synthetic
"1. ""The flight was pretty standard with American Airlines. The seats were comfortable enough for a short flight, and the staff was polite.""",Neutral,Unknown,General,Anonymous,,synthetic
"2. ""Air Canada provided a satisfactory service on my recent trip. The plane was clean and the in-flight entertainment was up-to-date.""",Neutral,Unknown,General,Anonymous,,synthetic
"3. ""My trip with Lufthansa was overall decent. The food was average and the flight arrived on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"4. ""I took a flight with Delta Airlines last week. The boarding process was smooth, and the seats were standard for economy class.""",Neutral,Unknown,General,Anonymous,,synthetic
"5. ""I found British Airways to be quite acceptable. The staff were professional, and the in-flight meal was reasonably good.""",Neutral,Unknown,General,Anonymous,,synthetic
"6. ""Air France provided a comfortable flight experience. The legroom was sufficient, and the flight departed on schedule.""",Neutral,Unknown,General,Anonymous,,synthetic
"7. ""My recent flight with Emirates was typical. The cabin was clean, and the crew was efficient.""",Neutral,Unknown,General,Anonymous,,synthetic
"8. ""I traveled with Virgin Atlantic recently. The airplane was moderately crowded, but the service was decent.""",Neutral,Unknown,General,Anonymous,,synthetic
"9. ""The flight with Qantas was average. The food quality was as expected for airline food, and the flight landed on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"10. ""My trip with Southwest Airlines was pretty typical. The boarding process was organized, and the flight crew was amicable.""",Neutral,Unknown,General,Anonymous,,synthetic
"11. ""My flight with Turkish Airlines was overall satisfactory. The seats were a bit cramped, but the in-flight entertainment made up for it.""",Neutral,Unknown,General,Anonymous,,synthetic
"12. ""I flew with JetBlue recently. The check-in process was smooth, and the flight left on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"13. ""My recent flight with United Airlines was okay. The cabin was clean, and the staff was professional.""",Neutral,Unknown,General,Anonymous,,synthetic
"14. ""I found my flight with Qatar Airways to be quite standard. The food was acceptable, and the flight attendants were courteous.""",Neutral,Unknown,General,Anonymous,,synthetic
"15. ""My experience with Etihad Airways was average. The plane was a bit old, but the flight was on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"16. ""My flight with Ryanair was acceptable. The seats were a bit cramped, but the pricing was competitive.""",Neutral,Unknown,General,Anonymous,,synthetic
"17. ""I recently flew with Cathay Pacific. The legroom was average, and the in-flight meal was decent.""",Neutral,Unknown,General,Anonymous,,synthetic
"18. ""My recent trip with Aer Lingus was fine. The boarding process was straightforward, and the staff was polite.""",Neutral,Unknown,General,Anonymous,,synthetic
"19. ""I flew with Singapore Airlines last week. The airplane was clean, and the in-flight entertainment options were plentiful.""",Neutral,Unknown,General,Anonymous,,synthetic
"20. ""My flight with Alaska Airlines was pretty standard. The check-in process was easy, and the flight left on time.""",Neutral,Unknown,General,Anonymous,,synthetic
"1. Airline X provides adequate service, with on-time departures and arrivals. Their in-flight meals are fairly standard.",Neutral,Unknown,General,Anonymous,,synthetic
2. The flight with Airline Y was unremarkable. The staff were polite and did their job efficiently.,Neutral,Unknown,General,Anonymous,,synthetic
"3. Airline Z's service was as expected. The seats were a bit tight, but otherwise, the journey was smooth.",Neutral,Unknown,General,Anonymous,,synthetic
4. Airline A provided an average flying experience. The legroom was okay and the food was edible.,Neutral,Unknown,General,Anonymous,,synthetic
5. The check-in process with Airline B was relatively smooth. The in-flight entertainment could use some improvement.,Neutral,Unknown,General,Anonymous,,synthetic
6. Airline C's flight attendants were professional. The flight departed and arrived as scheduled.,Neutral,Unknown,General,Anonymous,,synthetic
7. The flight with Airline D was comfortable enough. The in-flight movie selection was decent.,Neutral,Unknown,General,Anonymous,,synthetic
"8. My flight with Airline E was generally satisfactory. The seats were a bit uncomfortable, but the staff was polite.",Neutral,Unknown,General,Anonymous,,synthetic
9. Airline F's services were adequate. There were no significant delays and the food was decent.,Neutral,Unknown,General,Anonymous,,synthetic
"10. The flight with Airline G was standard. The cabin was clean, but the seating was a bit cramped.",Neutral,Unknown,General,Anonymous,,synthetic
11. Airline H provided a typical flying experience. The crew was professional and the flight arrived on time.,Neutral,Unknown,General,Anonymous,,synthetic
"12. The flight with Airline I was satisfactory. However, the boarding process could be more organized.",Neutral,Unknown,General,Anonymous,,synthetic
13. Airline J's service was acceptable. The crew was polite and the flight was on schedule.,Neutral,Unknown,General,Anonymous,,synthetic
14. The flight with Airline K was as expected. The food was average but the in-flight entertainment was good.,Neutral,Unknown,General,Anonymous,,synthetic
"15. My flight with Airline L was okay. The seats were not the most comfortable, but the flight was punctual.",Neutral,Unknown,General,Anonymous,,synthetic
16. Airline M's flight was decent. The crew members were professional and the in-flight meals were satisfactory.,Neutral,Unknown,General,Anonymous,,synthetic
17. The flight with Airline N was uneventful. The boarding process was smooth and the flight departed on time.,Neutral,Unknown,General,Anonymous,,synthetic
"18. Airline O's service was standard. The legroom was a bit tight, but the in-flight entertainment was good.",Neutral,Unknown,General,Anonymous,,synthetic
19. The flight with Airline P was satisfactory. The check-in process was efficient and the flight was punctual.,Neutral,Unknown,General,Anonymous,,synthetic
