review_name,review_type,passenger_name,review_date,review_text,rating_value,textblob_label,vader_label,keyword_label,hybrid_sentiment,review_classification,source,under_token_limit,predicted_sentiment
Tijuana,airport,H Jarvi,2012-11-15,The airport is mostly new after months of renovation and expansion As usual now both domestic and intl passengers undergo passport control and customs either departing or arriving Make sure when departing to get your tourist permit and your passport stamped Immigration personnel were friendly but the lady at Customs wasnt I usually get immigration cleared at the land border point when coming from San Diego but the office at the border closes at night TIJ Immigration is so no worries for late nightearly morning flight Checkin is a bit messy though not slow with Volaris the largest tenant but otherwise smooth with other carriers If you fly Aeromexico well lets say Ive enjoyed better lounges than theirs at terminal A Better spend time at the terminals Starbucks Food is the airport biggest failure small gates too perhaps I believe with nothing other than the aforementioned cafe and some overpriced bad tasting and cramped restaurants Terminal B isnt any better at food its upside is a great local wine shop Free wifi available everywhere,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
MIAT Mongolian Airlines,airline,25 reviewsP Harris,2019-08-30,MIAT Mongolian Airlines from Berlin via Moscow Sheremetyevo to Ulaanbaatar Well over h queuing in TXL despite web checkin There was no separate line for baggage drop Long lines at the entrance to the hopelessly overcrowded departure lounge at the gate let to a delayed start Further nuisance in Moscow where pax were forced to leave the plane for passport control only to return into the same plane thereafter Not sure if the above is under MIAT control The actual flight was reasonably pleasant The ageing seemingly well looked after was filled to the last seat Crew was efficient but not overly friendly or extra hospitable The IFE was functional but the film selection rather limited and headset quality poor The seats were tight but not uncomfortable I found the food surprisingly decent and the drinks Austrian wine and Mongolian beer actually very good The crew offered soft drinks very frequently which I consider important on a hjourney Immigration in ULN was swift and friendly and put TXL to shame Return was direct from ULN to FRA h again on a full with similar onboard experience Overall I found the journey with MIAT quite ok but not worth raving about,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Air KBZ,airline,4 reviewsMichael Andersen,2016-10-29,I was pleasantly surprised by the quality of Air KBZ flying from Yangon to Mandalay I bought the ticket just two days before the flight and the fare was very reasonable Checkin was fast and efficient and a Air KBZ employee approached me in the line and escorted me to the checkin desk and helped me checkin The domestic terminal is small and a bit chaotic but this is not Air KBZs fault and should be remedied when the new domestic terminal is finished There are no screens announcing that boarding has commenced so you have to pay attention to the airline employees who walk up and down the waiting area with handheld signs with your airline and flight number on it Boarding was via a bus to the aircraft The plane was clean in good condition and the seats were comfortable The flight crew was helpful and friendly We were served a light breakfast on this minute flight The flight took off and landed on time I would certainly fly Air KBZ again,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
La Guardia,airport,2 reviewsN Vail,2022-08-25,The new Delta Terminal C is elegant convenient and modern Restaurants gate areas and restrooms were all immaculate Checkin went smoothly Keep it up,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
QantasLink,airline,Dene Bickers,2024-06-22,I would just like to convey my sincere thanks to Shaye Qantas Broome I flew from Perth to Broome on the th June QF my luggage flew from Perth to Karratha due to an airport error in Perth The Qantas staff were very understaffed my luggage ended up on the wrong flight When I got to Broome I realised the mistake contacted Shaye whilst she herself was understaffed extremely busy she found time to organise to have my luggage located sent back to Perth then flown to Broome by am next morning If all airline staff were as conscientious genuinely caring as Shaye then the airline industry would have much greater respect from its customers,6.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
US-Bangla Airlines,airline,Riaz Osmani,2017-01-23,Dhaka to Jessore I find the name of this private airline in Bangladesh a bit funny Other than that no complaints Arrived at the domestic terminal in Dhaka minutes before the scheduled morning departure due to being severely delayed due to road traffic The checkin desk completed all formalities rushed us through security had a limo ready for us to escort me and my partner to the aircraft at the remote stand The flight left after our boarding and exactly on time I have never experienced this kind of dedication and professionalism with an airline The flight to Jessore lasted minutes onboard a clean and attractive Dash Q and we were served a sandwich cake and a water bottle by friendly and smiley flight attendants The return flight to Dhaka a couple of days later was just as good but we made sure we arrived promptly for checkin this time We were served a mini burger cake and water bottle,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Colorado Springs,airport,J Khosla,2009-04-27,I highly recommend traveling out of COS if you live in Pueblo Colorado Springs even Denver COS is a very cozy and convenient airport with easy parking checkin security and baggage claim Its main terminal has gates so it isnt at all huge but it is a very comfortable size In the past several years the planes flying into and out of COS have sadly gotten smaller think regional jets and the routes served are mostly to hub cities That said I would personally rather fly out of COS and connect than drive the extra hour and a half to DEN and fly nonstop because it is a lot less stressful The airport recently purchased new furniture for each gate area and it is a vast improvement They even have padded benchs in the center of the terminal that you can lie on and sleep before you fly This little extra is great because lets face it when people come from sea level to ft it is nice to lie down and adjust to the high altitude That said one downfall of COS is its lack of shops and restaurants though the variety isnt horrible The free WiFi throughout the terminal though helps compensate for this shortfall,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Milwaukee,airport,Kevin Milner,2015-07-26,Big enough to serve all of your needs yet small enough and easy enough to get in and out of What a contrast when compared to Kansas City and Atlanta where my journey originated They have a childrens play area great local restaurants beers coffee etc It is about the same airfare to fly into Milwaukee often times as it is to fly into Chicago with a lot less hassle,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Read more,airline,123 reviewsMichael Schade,2025-04-06,Checkin was very slow with just three counters open for the full flight Boarding was unorganized and chaotic with just two gate agents being overwhelmed controlling the crowd There were no boarding groups and at the end they gave up and it was free for all As a result the flight took off minutes late Seats on the A were comfortable with a responsible seat pitch Service was good with ok food,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Mauritius,airport,S Koh,2023-04-24,Overall a great airport with great facilities and ample outlets to eatdrinkshop The only issue about this airport is the queues at immigration and security which is serious For instance immigration at arrival took minutes although there were only people in front of me and this was because only windows were open for processing,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Doncaster Sheffield,airport,R Heath,2019-05-28,This is a great airport us my wife and self We fly from it twice a year We have just returned from Lanzarote We had no problems at all until we arrived back at hrs mins late There was a full plane load of passengers and only Border Control Officers on duty We were stood in a snakelike queue for nearly half an hour in a room that was like a shed I think that Border Control can do a lot better and should be doing so After saying this we are flying from Doncaster again in Sept,9.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Sunan Pyongyang,airport,Martin Borland,2012-12-28,The airport was not busy when we arrived but this did not stop it taking minutes to pass through immigration and collect bags Facilities are what you expect from an airport about years out of date and did not expect anything different I guess Found the staff to be unfriendly and there were no painted on smiles available here,1.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Port Moresby,airport,K Joseph,2010-01-14,Arriving late at night from Brisbane on a delayed flight we were quickly off the plane and through customs without a long delay for baggage but remember PGK for a visitors visa Security is fairly tight due to the general problems of PNG and only passengers with tickets are allowed into the terminals The domestic terminal is somewhat more crowded and more confusing with limited facilities but is relatively clean Returning from outside POM you may well find that there is no international baggage transfer you need to walk the three hundred or so metres between the terminals with your baggage but it is a covered walkway with lots of security staff everywhere After checkin there is then a wait with few available chairs until customs is opened about an hour before the flight Once through things go fairly smoothly though there is not much airside apart from the small Air Niugini lounge which is pleasant enough For the size of Port Moresby a reasonable enough experience though more seating would be good,3.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Thomas Cook Airlines Scandinavia,airline,B Erik,2013-06-26,GOTAYTGOT We choose this airline because it was a part of a charter trip We went on a seat A its was quite big It was as you expect in a economy class airplane not much legroom quite cramped The seats were quite nice but you will notice that they have been there for a while but it works fine The cabincrew are very friendly and nice The food onboard was okay You cant expect that much from an airline in the food section We thought we were going to get breakfast as we flew at in the morning Instead we got meatballs in a sauce which was really nice,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Air Busan,airline,R Hardie,2019-08-12,Osaka to Busan Great value budget airline Web site and onboard magazine promise free water but none was offered Checkin at KIX was about minutes checkin at PUS was zero with no other customers in sight Offered decent seats even though we hadnt prebooked them Outward flight was delayed due to air traffic control restrictions at KIX but landed on time due to timetable padding Return flight left early but landed slightly late after circling around western Japan for ages Boarding on both flights smooth Bus to terminal at PUS but sky bridge on return flight Perfectly adequate and reasonably efficient for a budget airline and a onehour flight Would use again,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Air Vanuatu,airline,3 reviewsRonald Zwart,2024-01-25,Check in at Port Vila was somewhat chaotic in the Domestic Terminal however certain check in desks for certain flights ensured you checked in for your flight ontime Very strict closing times for check in be warned to check in on time Boarding announcements were not very clear and any announcements were very hard to hear due to echo in the terminal Boarding was efficient greeted by the Smiling crew and that was it really Pre takeoff checks and we didnt see the crew again until the prelanding checks were done There is NO refreshments offered so take your own We did on this flight and so glad that we did Beautiful views to be had heading north to Santo however things turned to custard on coming into Santo It was midafternoon when the thunderstorms tend to pop up and we could not land at Santo due to the weather We then endured another minutes back to Port Vila where more chaos ensued I must say it was the Australians and Americans who were demanding on arrival wanting compensation and accommodation their pleas went unanswered as weather issues are not the responsibility of the airline folks Found our own hotel for the night turned up back at the Airport the next afternoon for our replacement flight and off we flew back to Santo and landed on a beautiful afternoon Cabin crew again were full of smiles on boarding and deplaning but really they did nothing else Aircraft was clean toilet was clean and announcements on the aircraft were much clearer than on some airlines we have travelled In fairness to Air Vanuatu they got us there and back and then there again safely they accommodated us onto an extra special flight due to the disruption you could not ask for anything else,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Air KBZ,airline,4 reviewsMichael Andersen,2016-10-29,I was pleasantly surprised by the quality of Air KBZ flying from Yangon to Mandalay I bought the ticket just two days before the flight and the fare was very reasonable Checkin was fast and efficient and a Air KBZ employee approached me in the line and escorted me to the checkin desk and helped me checkin The domestic terminal is small and a bit chaotic but this is not Air KBZs fault and should be remedied when the new domestic terminal is finished There are no screens announcing that boarding has commenced so you have to pay attention to the airline employees who walk up and down the waiting area with handheld signs with your airline and flight number on it Boarding was via a bus to the aircraft The plane was clean in good condition and the seats were comfortable The flight crew was helpful and friendly We were served a light breakfast on this minute flight The flight took off and landed on time I would certainly fly Air KBZ again,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Abidjan,airport,M Meiners,2005-05-14,I had to visit Abidjan this January There is no doubt the airport is more than a pleasant surprise One would expect the worst for any West African ariport in general and even more for this one keeping in mind that the country is fairly isolated and suffering from heavy civil unrest and at the edge of civil war keeping most western travellers and business away In fact the airport corresponds totally to European counterparts of the same size fairly small thus The terminal building is very new and has been totally rebuild in a quite recent past with all confort one can expect Aircondition normal sanitary facilities and yes all is clean and in good working condition On arrival jet aircrafts just dock at a direct tunnel connection to the building distances are quite short All controls are very smooth with absolutely no bribes to give to any official While standing in line for passport control a doctor passes trough the lines and checks vaccinations Yellow fever is compulsory every where there is security passport control is smooth and efficient although every one tries to be closest to the luggage belt this also goes quite smoothly including inspection of luggage No unauthorized people in the arrival area and nowhere unpleasant people insisting on helping you carrying your luggage and then trying to run away with it apparently some people do have a sort of authorization to enter customs area for helping passengers but not insisting Departure also is quite smooth Check in is done in an enclosed area with identity check at the entrance so here also one is safe after checking in there is just a short way up the stairs passing customs and then to the departure hall Here also with all normal facilities duty free shop large restaurant area some smaller shops and sanitary facilities still clean and in good working order Altogether thus a pleasant experience,0.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Yemenia,airline,Ian Howarth,2011-04-25,SanaaParis on A Ontime departure in spite of elaborate boarding procedures All pax bussed to aircraft Inflight fine choice of meal and range of nonalcoholic drinks Cabin crew courteous with passable English Economy cabin looked a real mess after meal service not cleaned Limited inflight entertainment,5.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Bangalore,airport,K Barzim,2024-11-16,Modern infrastructure and worldclass service Known for its efficiency cleanliness and design it has become one of the most impressive airports in India,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Tashkent,airport,15 reviewsT Pearce,2024-11-06,International Arrival at Tashkent is fine Bus from plane to terminal Very quick and smooth passport control no landing card needed no forms to fill in Baggage Reclaim was slow for some reason Money Exchange in Baggage Reclaim Hall along with local mobile SIM Cards Baggage Xray and then walk in fenced off compound to where taxis and buses await the usual scrum of offers of taxi etc Domestic Departures in separate building which is older Xray and show ticketETicket to get in then Checkin desks Security scanning of hand luggage basic water is allowed to go through Departure Hall has gates for bus loading of planes There is a small cafe serving drinkssnacks and seats International Departures is in a separate building scanned to get in and lots of Checkin Desks Only Money Exchange that was reluctant to exchange Uzbek Soms but did so very important as there is nowhere to do so after passport control Checkin show as no online checkin everyone has to checkin to get a Boarding Pass Passport Control quite quick and Security OK International Departures has a mix of shops selling local items and usual big brand alcholcigarettes price in USD or EUR prices OK A few cafes that were priced in local currency Euros or US Dollars Many departure screens and quite a lot of seating Only a couple of air bridges so most planes land on remote stands served by buses,7.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Faro,airport,William Sterry,2024-08-30,Awful airport On arrival was very smooth to be fair but the passport control queue was horrendous for those with UK passports and no accessibility and on departure despite wearing the sunflower lanyard and having booked fast track I was declined at fast track and made to queue for security and with my disabilities I struggle with long queuing The departure hall was very busy and hot with not many places to sit I had a great holiday in the Algarve but it was tarnished by the atrocity that is Faro Airport on a positive note however the toilets were very clean,1.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Hangzhou,airport,Bessie Feng,2014-03-26,I think it is a great airport compared to most Chinese airports Today Hangzhou Airport is quite different from what it used to be Its very large and modern and has good service,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Bangkok Airways,airline,J Masters,2024-04-07,Always great and good value for money No issues with delayed flights and a smooth journey overall Friendly staff and onboard service even on super short flights eg Bangkok to Trat At Trat airport they also have complimentary snacks and drinks,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Air Vanuatu,airline,3 reviewsRonald Zwart,2024-01-25,Check in at Port Vila was somewhat chaotic in the Domestic Terminal however certain check in desks for certain flights ensured you checked in for your flight ontime Very strict closing times for check in be warned to check in on time Boarding announcements were not very clear and any announcements were very hard to hear due to echo in the terminal Boarding was efficient greeted by the Smiling crew and that was it really Pre takeoff checks and we didnt see the crew again until the prelanding checks were done There is NO refreshments offered so take your own We did on this flight and so glad that we did Beautiful views to be had heading north to Santo however things turned to custard on coming into Santo It was midafternoon when the thunderstorms tend to pop up and we could not land at Santo due to the weather We then endured another minutes back to Port Vila where more chaos ensued I must say it was the Australians and Americans who were demanding on arrival wanting compensation and accommodation their pleas went unanswered as weather issues are not the responsibility of the airline folks Found our own hotel for the night turned up back at the Airport the next afternoon for our replacement flight and off we flew back to Santo and landed on a beautiful afternoon Cabin crew again were full of smiles on boarding and deplaning but really they did nothing else Aircraft was clean toilet was clean and announcements on the aircraft were much clearer than on some airlines we have travelled In fairness to Air Vanuatu they got us there and back and then there again safely they accommodated us onto an extra special flight due to the disruption you could not ask for anything else,10.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
XL Airways France,airline,D Meares,2019-08-12,Paris to San Francisco Read the reviews after purchasing my ticket and was quite worried Ive flown to Europe multiple times on multiple airlines and this flight was just the same as all the other airlines Economy seats are the same size as UnitedDelta Our flight was several hundred dollars cheaper per person than any other alternative Yes boarding is a bit chaotic and unorganized but that was not that big of a deal to me Yes there are no screens on the seats however they offer free WiFi with access to their entertainment on your own device that includes movies tv shows games and music They do not have charging in seat so bring your own portable charger if necessary Food was delicious and they had good options for purchase throughout the flight Flight attendants were very friendly and provided great service We sat in the back of the plane with seats together and that was great because the aisles were a bit roomier back there,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
SyrianAir,airline,T Lloyd,2009-11-25,I tried to arrange a group trip with SyrianAir from London to Aleppo via Damascus and back Initially all was fine until they cancelled the first leg of the journey to Damascus a week prior to us leaving The next flight was days later but there was no immediate plane to Aleppo once we had arrived at Damascus which meant we would have to take a bus up instead a journey we werent too keen on While friendly the staff are fairly useless and I sat for MANY hours trying to sort things out We changed the flights to stay the same number of days but decided to go to Aleppo at the tail end of the trip under our own steam and the fly Allepo to London again via Damascus on the same ticket Unfortunately the staff didnt really get the group concept and kept issuing tickets for the wrong dates for different members of the group It took too many visits to their offices in Baker Street to finally get everyone on the same flights at the same time The flight to Syria was fine late and we managed to get up to Aleppo ourselves but the day before we were to fly out again we went into the Syrian air offices to confirm everything was ok IT WAS NOT They had cancelled the flight to Damascus without informing any of us and we had to arrange a midnight bus from Aleppo to Damascus Airport to make the correct flight back to London Luckily this one hadnt been cancelled But it was late My advice Dont Fly SyrianAir and if you do check on your flights constantly,0.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Martinair,airline,A Rochard,2008-11-06,YYZAMSYYZ Legroom was okay got the exit row on the way back Food decent for a charter Seat width normal unlike Air Transat they dont squeeze an extra row of seats in I didnt feel the need to upgrade to Economy plus The personal entertainment device portable hard drive with monitor was great Worth the euro on the day flight back,4.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
Omni Air International,airline,A Yelena,2020-04-22,Vancouver to Honolulu via Ottawa We had the pleasure of flying Omni after a very long delayed missed connection flight and they went above and beyond to make us feel welcome and comfortable The higher level of service is very evident in the crews demeanor and professionalism Penny and Ilya were particularly helpful and went out of their way to make our flight memorable Thank you to the entire team,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Richmond,airport,Tim Buntin,2012-02-23,My experiences have always been pleasant Security lines are extremely short and there is a lot of open space Checking in is never a hasslewe have been able to pass by the checkin desk in minutes or less on the worst of days Bathrooms are clean and theres always a cafe or news store open Delta seems to have the largest concentration of flights at the airport most of them being on their regional affiliates running under Delta Connection Overall the airport is very good clean and friendly,9.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
XL Airways France,airline,D Meares,2019-08-12,Paris to San Francisco Read the reviews after purchasing my ticket and was quite worried Ive flown to Europe multiple times on multiple airlines and this flight was just the same as all the other airlines Economy seats are the same size as UnitedDelta Our flight was several hundred dollars cheaper per person than any other alternative Yes boarding is a bit chaotic and unorganized but that was not that big of a deal to me Yes there are no screens on the seats however they offer free WiFi with access to their entertainment on your own device that includes movies tv shows games and music They do not have charging in seat so bring your own portable charger if necessary Food was delicious and they had good options for purchase throughout the flight Flight attendants were very friendly and provided great service We sat in the back of the plane with seats together and that was great because the aisles were a bit roomier back there,8.0,Positive,Positive,Positive,Positive,Positive,,True,Negative
Bangalore,airport,K Barzim,2024-11-16,Modern infrastructure and worldclass service Known for its efficiency cleanliness and design it has become one of the most impressive airports in India,10.0,Positive,Positive,Positive,Positive,Positive,,True,Neutral
